iter	MultiClass
0	1.067224154
1	1.041960627
2	1.022728649
3	1.004855869
4	0.991167841
5	0.9798468377
6	0.9706943813
7	0.961585694
8	0.955711087
9	0.9507283919
10	0.9465226954
11	0.9424491013
12	0.9375172563
13	0.9349299804
14	0.9294746276
15	0.9262957325
16	0.9235199497
17	0.9210194715
18	0.9195245214
19	0.9185023132
20	0.9156596956
21	0.9138454733
22	0.9132588529
23	0.9125952969
24	0.911418786
25	0.9106989898
26	0.9088895029
27	0.9075961652
28	0.9066167841
29	0.9046080345
30	0.9041415751
31	0.9032777418
32	0.9029342404
33	0.9025129164
34	0.9021841944
35	0.8996024575
36	0.8992818289
37	0.8986942779
38	0.8969886057
39	0.8963138143
40	0.8956564794
41	0.8946853876
42	0.8934918706
43	0.8929678695
44	0.8927526671
45	0.8907001553
46	0.8893409877
47	0.8888514723
48	0.8885973332
49	0.8880350194
50	0.8862320935
51	0.8858545374
52	0.8853881288
53	0.8839546621
54	0.8833885719
55	0.8830044069
56	0.8822872948
57	0.8810426181
58	0.8805228395
59	0.8793278123
60	0.8789389091
61	0.8781992336
62	0.8773172376
63	0.8747175197
64	0.8738195917
65	0.8736456132
66	0.8732400735
67	0.8728184299
68	0.87255218
69	0.8710704208
70	0.8688795763
71	0.8685187558
72	0.8680609051
73	0.8673511395
74	0.8648449499
75	0.8641814071
76	0.8637221561
77	0.8631573651
78	0.8626614482
79	0.8621417142
80	0.8610209196
81	0.8604576442
82	0.8598062677
83	0.8592119569
84	0.8583774884
85	0.8579988042
86	0.8572753275
87	0.8568106722
88	0.8561967915
89	0.8555528401
90	0.8545761182
91	0.8542536124
92	0.8537816199
93	0.8531598543
94	0.8528305769
95	0.8523000194
96	0.8513474908
97	0.8510268668
98	0.8505046038
99	0.8500442456
