iter	Passed	Remaining
0	162	16051
1	165	8132
2	169	5494
3	173	4164
4	176	3362
5	180	2830
6	184	2453
7	189	2174
8	192	1951
9	197	1774
10	200	1624
11	205	1504
12	209	1400
13	214	1315
14	218	1237
15	222	1167
16	226	1104
17	229	1046
18	233	995
19	237	948
20	240	905
21	244	865
22	247	827
23	250	794
24	254	762
25	257	733
26	261	706
27	265	681
28	268	657
29	271	634
30	274	611
31	278	590
32	281	571
33	285	553
34	288	535
35	291	518
36	295	502
37	298	487
38	302	472
39	305	458
40	308	444
41	312	431
42	315	418
43	318	405
44	322	393
45	325	382
46	329	371
47	332	360
48	335	349
49	339	339
50	342	329
51	345	319
52	349	309
53	352	300
54	355	291
55	358	281
56	362	273
57	365	264
58	368	256
59	372	248
60	375	240
61	379	232
62	383	225
63	387	217
64	390	210
65	394	203
66	397	195
67	401	188
68	405	181
69	409	175
70	412	168
71	416	162
72	420	155
73	424	149
74	427	142
75	431	136
76	434	129
77	438	123
78	441	117
79	445	111
80	449	105
81	452	99
82	456	93
83	460	87
84	463	81
85	467	76
86	471	70
87	474	64
88	479	59
89	482	53
90	486	48
91	490	42
92	493	37
93	497	31
94	500	26
95	504	21
96	508	15
97	511	10
98	515	5
99	518	0
