Episode,Steps,Training_Loss,Evaluation_Return
1,18,0.0,10.0
2,15,0.0,9.0
3,13,0.0,8.0
4,11,0.0,8.0
5,13,0.0,10.0
6,12,0.0,10.0
7,12,0.0,10.0
8,26,0.0,9.0
9,14,0.0,9.0
10,20,0.0,10.0
11,12,0.0,9.0
12,14,0.0,10.0
13,17,0.0,9.0
14,11,0.0,10.0
15,13,0.0,10.0
16,9,0.0,9.0
17,24,0.0,10.0
18,20,0.914500073382729,9.0
19,18,0.5769901192850537,10.0
20,14,0.34967006955827984,9.0
21,26,0.1651374691954026,10.0
22,16,0.07762326812371612,10.0
23,34,0.04158478739726193,12.0
24,19,0.02261144412975562,11.0
25,16,0.016239370044786483,11.0
26,14,0.012051873507776431,10.0
27,13,0.009208361045099221,11.0
28,12,0.007571719936095178,12.0
29,15,0.006301693183680375,11.0
30,11,0.0050095099193806,14.0
31,11,0.0044356403152712364,11.0
32,14,0.004155545778173421,10.0
33,16,0.00353791871748399,11.0
34,13,0.00347271952061699,11.0
35,15,0.003341547617067893,10.0
36,12,0.0035545441787689924,11.0
37,12,0.0034820018724227944,11.0
38,17,0.0037723768858567755,9.0
39,15,0.004005456995218992,10.0
40,27,0.004088956923051564,12.0
41,11,0.004376660418612036,9.0
42,14,0.0043511909898370504,9.0
43,19,0.005245955832498639,12.0
44,20,0.005079171957913786,10.0
45,14,0.005399282389719572,11.0
46,13,0.005831504240632057,12.0
47,20,0.006131980428472161,10.0
48,14,0.006396386273471373,10.0
49,18,0.006650901865214109,10.0
50,10,0.006683415547013283,10.0
51,12,0.007058561973584195,9.0
52,13,0.007038539096426506,9.0
53,11,0.007822831415317276,9.0
54,17,0.007465372848160127,10.0
55,15,0.008729837369173765,14.0
56,19,0.008343274018874294,12.0
57,13,0.009416100175048295,12.0
58,10,0.008677673107013107,11.0
59,18,0.009613816005488237,12.0
60,18,0.009989887889888551,11.0
61,11,0.010865976356647232,10.0
62,13,0.011633550175107442,9.0
63,11,0.010222969407385046,11.0
64,11,0.011978005228394812,11.0
65,12,0.012435571445773045,10.0
66,13,0.012132969326697864,11.0
67,10,0.014293323177844286,10.0
68,14,0.012537154768194472,10.0
69,16,0.013426445133518428,11.0
70,10,0.014077636320143938,10.0
71,14,0.013843172961579902,10.0
72,10,0.01331484792754054,10.0
73,12,0.01461989595554769,8.0
74,9,0.015420647027591864,12.0
75,12,0.014298758391911784,13.0
76,9,0.01520952923844258,12.0
77,12,0.016749969062705834,12.0
78,9,0.015063178518580066,9.0
79,9,0.01723299040976498,12.0
80,11,0.01592924903062257,10.0
81,9,0.017114570778277185,12.0
82,13,0.018071025896530885,13.0
83,13,0.01821242208377673,12.0
84,11,0.01858709608627991,12.0
85,13,0.018994784985597316,10.0
86,13,0.020054554423460595,11.0
87,12,0.019060366476575535,13.0
88,15,0.02064303383231163,10.0
89,9,0.020021678879857063,11.0
90,11,0.02029800855300643,12.0
91,10,0.02169764172285795,12.0
92,12,0.021874278007696073,12.0
93,9,0.023533069011237886,11.0
94,12,0.02331913774833083,11.0
95,12,0.021014894203593332,10.0
96,16,0.024492485681548715,13.0
97,16,0.02478811045875773,11.0
98,10,0.023176146671175957,10.0
99,10,0.022704722173511983,13.0
100,9,0.02127154813044601,11.0
