Episode,Steps,Training_Loss,Evaluation_Return
1,33,0.0,9.0
2,26,0.0,10.0
3,27,0.0,8.0
4,20,0.0,10.0
5,35,0.0,9.0
6,10,0.0,8.0
7,30,0.0,9.0
8,13,0.0,9.0
9,73,1.1416230996449788,9.0
10,10,1.1135785818099975,10.0
11,33,1.0641089713934697,10.0
12,28,0.9991354431424823,11.0
13,12,0.9502411931753159,10.0
14,19,0.9228485822677612,11.0
15,11,0.8949676806276495,10.0
16,32,0.8539191447198391,10.0
17,16,0.8159784637391567,9.0
18,15,0.7855046192804972,10.0
19,21,0.751094327086494,10.0
20,19,0.7179813322268034,9.0
21,16,0.6883719265460968,9.0
22,11,0.6641238711097024,9.0
23,11,0.6435872912406921,10.0
24,19,0.6208959159098173,10.0
25,29,0.5797431099003759,8.0
26,26,0.5429617556241843,9.0
27,15,0.5095854004224142,8.0
28,9,0.4905007514688704,11.0
29,11,0.47334050319411536,9.0
30,22,0.4522459168325771,10.0
31,10,0.42881260216236117,10.0
32,21,0.4150968861012232,8.0
33,12,0.3956815203030904,10.0
34,13,0.3830240529317122,11.0
35,10,0.3640722751617432,9.0
36,14,0.3537869453430176,9.0
37,11,0.3406733572483063,9.0
38,14,0.3279000222682953,10.0
39,9,0.3165435989697774,9.0
40,12,0.30672357976436615,10.0
41,12,0.2990168606241544,9.0
42,10,0.28742447793483733,10.0
43,10,0.28158983290195466,10.0
44,19,0.27161839761232076,9.0
45,13,0.2549968912051274,9.0
46,14,0.25208904168435503,9.0
47,13,0.2456604941533162,8.0
48,12,0.23625054210424423,10.0
49,16,0.22715418599545956,10.0
50,23,0.21854698852352475,9.0
51,34,0.2060642825330005,9.0
52,19,0.1935957372188568,10.0
53,18,0.18834789262877571,10.0
54,14,0.18301528160061156,8.0
55,16,0.17562551610171795,10.0
56,13,0.17256899980398324,8.0
57,9,0.17074122859372032,10.0
58,13,0.16685829942043012,8.0
59,17,0.16478616437491247,10.0
60,9,0.15332645177841187,10.0
61,20,0.1543533645570278,10.0
62,12,0.14926335836450258,9.0
63,10,0.15072529762983322,10.0
64,31,0.14845638121328047,10.0
