Episode,Steps,Training_Loss,Evaluation_Return
1,10,0.0,11.0
2,13,0.0,8.0
3,14,0.0,8.0
4,15,0.0,9.0
5,15,0.0,11.0
6,19,0.0,9.0
7,28,0.0,8.0
8,16,0.0,9.0
9,12,0.0,10.0
10,57,0.0,10.0
11,32,0.0,9.0
12,22,0.0,11.0
13,25,1.0604238665622214,11.0
14,33,0.8930645928238378,10.0
15,12,0.7699378083149592,10.0
16,29,0.6699791468422989,10.0
17,13,0.5625962110666128,9.0
18,24,0.4705730676651001,10.0
19,26,0.3544833751825186,10.0
20,16,0.28080067969858646,10.0
21,13,0.23726207705644461,8.0
22,10,0.20039129704236985,10.0
23,34,0.1556383498451289,10.0
24,9,0.11561127503712972,9.0
25,25,0.09746871352195739,10.0
26,13,0.0790384692641405,9.0
27,10,0.06710625365376473,10.0
28,33,0.05581540456323913,12.0
29,13,0.04391950082320433,13.0
30,11,0.03842671046202833,11.0
31,17,0.03520212881267071,11.0
32,38,0.028558213459817988,10.0
33,12,0.02316961530596018,11.0
34,22,0.020019289614124733,13.0
35,25,0.01798710275441408,11.0
36,11,0.015502856536345049,9.0
37,24,0.014738458984841904,10.0
38,11,0.013074640269306574,12.0
39,9,0.012359815960129103,10.0
40,14,0.01204341942710536,12.0
41,12,0.012120041452969113,11.0
42,12,0.011307600264747938,11.0
43,15,0.010435355206330618,10.0
44,19,0.00980091158692774,10.0
45,16,0.009461695532081649,11.0
46,11,0.009170080365782434,11.0
47,25,0.008766797930002212,10.0
48,14,0.008413145019273673,11.0
49,11,0.0085557303391397,11.0
50,10,0.008608756121248007,13.0
51,12,0.008339014292384187,12.0
52,16,0.008277425426058471,13.0
53,13,0.0077798410247151666,12.0
54,13,0.008421352562996058,12.0
55,10,0.008798777312040328,11.0
56,13,0.009362347459850403,11.0
57,12,0.008390864279742042,12.0
58,8,0.008980191370937973,9.0
59,11,0.009034968573938717,12.0
60,16,0.009073553927009925,10.0
61,12,0.009635705811282,12.0
62,11,0.010081488215787844,12.0
63,12,0.00959827258096387,9.0
64,14,0.01063359562041504,10.0
65,10,0.011068582069128752,10.0
66,15,0.010796681605279445,10.0
67,17,0.011421110207105385,9.0
68,10,0.011545304115861655,10.0
69,20,0.012981889536604285,9.0
70,12,0.012485963370030126,11.0
71,9,0.011540722308887376,12.0
72,11,0.01299365499818867,11.0
73,22,0.013322938953272322,11.0
74,9,0.013440363212592073,12.0
75,11,0.014938769608058712,9.0
76,15,0.013824681937694549,9.0
