Episode,Steps,Training_Loss,Evaluation_Return
1,45,0.0,9.0
2,13,0.0,10.0
3,26,1.0352519693828763,10.0
4,15,0.920442525545756,10.0
5,18,0.8276842269632552,8.0
6,25,0.7293951296806336,10.0
7,15,0.6342268347740173,10.0
8,15,0.5557769974072774,10.0
9,14,0.47462132573127747,10.0
10,13,0.4132530459990868,9.0
11,33,0.3359603610905734,10.0
12,13,0.272257550404622,9.0
13,14,0.23796884076935904,10.0
14,15,0.19452250599861146,10.0
15,30,0.1588696430126826,9.0
16,16,0.13365321699529886,10.0
17,25,0.10710001438856125,10.0
18,23,0.08709496000538701,8.0
19,14,0.0782081460846322,10.0
20,11,0.06978298080238429,12.0
21,32,0.06160487327724695,11.0
22,12,0.05322882470985254,11.0
23,45,0.04392808766828643,9.0
24,32,0.038095414580311626,11.0
25,19,0.03171792136211144,17.0
26,14,0.026023594928639277,16.0
27,11,0.023314903405579655,15.0
28,14,0.022603534162044525,14.0
29,18,0.02208713861182332,15.0
30,15,0.018981790790955227,15.0
31,16,0.01644609507638961,16.0
32,13,0.01646516378968954,14.0
33,26,0.013863768894225359,15.0
34,13,0.01271232683211565,12.0
35,22,0.011017032052305612,14.0
36,10,0.011771178618073464,18.0
37,13,0.01006380540247147,12.0
38,24,0.011460090056061745,10.0
39,13,0.011866540719683353,14.0
40,14,0.010509130278868335,13.0
41,11,0.009074879090555689,12.0
42,11,0.010727265130051157,10.0
43,19,0.010976476276195362,13.0
44,12,0.008914209708260993,16.0
45,19,0.010649044483311866,13.0
46,11,0.010105743707919662,14.0
47,11,0.008032095449214632,19.0
48,11,0.009275215974246914,13.0
49,13,0.009723386225792078,14.0
50,15,0.010365781250099342,12.0
51,15,0.009827253703648845,13.0
52,22,0.010615116196938536,13.0
53,13,0.010055179098764291,12.0
54,16,0.012071748817106709,12.0
55,9,0.010628391936835315,10.0
56,16,0.011766662821173668,11.0
57,9,0.01196963345218036,10.0
58,16,0.01259542119805701,9.0
59,13,0.012077284403718434,10.0
60,9,0.01566698629822996,10.0
61,8,0.01212306774687022,9.0
62,18,0.017314272311826546,10.0
63,13,0.015649013472004578,10.0
64,9,0.012742956996791892,10.0
65,11,0.013145933012393389,9.0
66,10,0.01368152373470366,10.0
67,14,0.016966242576017976,11.0
68,10,0.014945946494117379,8.0
69,14,0.015003070002421737,10.0
70,11,0.011826509652151302,9.0
71,9,0.01783864562296205,9.0
72,13,0.014790791122672649,10.0
73,9,0.02631843876507547,9.0
74,11,0.019622469913553108,10.0
75,9,0.018661786077751055,9.0
76,10,0.01946654189378023,9.0
77,14,0.02043774364782231,10.0
78,10,0.020122016500681638,9.0
79,9,0.022008466223875683,9.0
80,15,0.020138456920782723,10.0
81,11,0.02194821961562742,12.0
82,10,0.02165472721680999,11.0
83,10,0.019919697009027005,12.0
84,9,0.02247564463565747,9.0
85,17,0.02288668997147504,9.0
86,9,0.019454204580850072,12.0
87,13,0.021594044250937607,11.0
88,9,0.024461283555461302,12.0
89,10,0.025937828980386258,10.0
90,14,0.02244969816612346,10.0
91,12,0.025505069720869262,10.0
92,10,0.023457053024321793,9.0
93,9,0.02524508960131142,11.0
94,10,0.025675786472857,12.0
95,12,0.02531940210610628,12.0
96,14,0.02478365706545966,12.0
97,11,0.021886236880990593,11.0
98,12,0.02250127571945389,12.0
99,10,0.025457033840939402,9.0
100,9,0.022267535018424194,11.0
101,9,0.025213419356279902,11.0
102,12,0.023366334848105907,10.0
103,10,0.026601834036409856,8.0
104,9,0.03335927395770947,9.0
105,9,0.03274174345036348,10.0
106,10,0.030655409768223764,11.0
107,12,0.03303821493561069,8.0
108,11,0.028247404504906048,11.0
109,9,0.030766578805115487,11.0
110,11,0.028369084423915905,10.0
111,9,0.03234093367225594,8.0
112,9,0.03871546809871992,8.0
113,12,0.031036095693707466,10.0
114,11,0.030227358029647308,9.0
115,9,0.032371574391921364,10.0
116,15,0.027853903981546562,12.0
117,9,0.037352079111668796,9.0
118,15,0.03469693611065547,10.0
119,10,0.03152464479207993,8.0
120,11,0.03312575224448334,9.0
121,8,0.03139369492419064,11.0
122,11,0.03089808418669484,9.0
123,10,0.037464731559157374,12.0
124,10,0.03324302099645138,10.0
125,11,0.03708011352203109,9.0
126,12,0.026160401369755466,11.0
127,11,0.04137889901176095,12.0
128,13,0.03662163620957962,12.0
129,14,0.036101965898914,11.0
130,12,0.03788607195019722,13.0
131,13,0.050881003244565084,12.0
132,11,0.0385402302173051,12.0
133,9,0.03816145617100927,10.0
134,9,0.04131817652119531,11.0
135,14,0.03982454930831279,13.0
136,11,0.041211123832247475,12.0
137,12,0.04586379214500388,13.0
138,11,0.04430273818698796,14.0
139,13,0.03595717294284931,11.0
140,14,0.03676278277167252,13.0
141,12,0.04308664596950015,12.0
142,15,0.039944423859318096,12.0
143,10,0.03886562623083591,13.0
144,13,0.04453531007927198,10.0
