Episode,Steps,Training_Loss,Evaluation_Return
1,21,0.0,8.0
2,11,0.0,9.0
3,32,1.140884280204773,11.0
4,22,1.0631405846639113,10.0
5,44,0.8599128194830634,9.0
6,12,0.6931959937016169,10.0
7,11,0.6206652576273138,10.0
8,12,0.5745813995599747,10.0
9,12,0.5207989340027174,10.0
10,12,0.4559932251771291,8.0
11,13,0.39935810749347395,10.0
12,11,0.3400037369944833,10.0
13,9,0.29753444261021084,10.0
14,9,0.2815767824649811,8.0
15,10,0.2535996109247208,8.0
16,11,0.22453252971172333,9.0
17,14,0.19581211784056254,9.0
18,11,0.1693617119030519,9.0
19,13,0.1507768676831172,10.0
20,16,0.13831827696412802,10.0
21,11,0.1185173283923756,9.0
22,9,0.10889007151126862,10.0
23,18,0.1045587414668666,10.0
24,13,0.09702308418659064,9.0
25,10,0.08057591319084167,9.0
26,13,0.07665983931376384,11.0
27,12,0.0686736258988579,9.0
28,10,0.06711252629756928,9.0
29,12,0.059173086658120155,10.0
30,9,0.05308853048417303,9.0
31,10,0.05047021806240082,10.0
32,13,0.048801758541510656,10.0
33,9,0.044960230174991817,10.0
34,9,0.041940555390384465,8.0
35,9,0.038841494669516884,8.0
36,9,0.03690118363334073,9.0
37,19,0.03314209062802164,9.0
38,10,0.033336279541254045,9.0
39,14,0.028141083727989877,10.0
40,8,0.02730693807825446,9.0
41,9,0.028772192903690867,9.0
42,10,0.024305497482419013,10.0
43,10,0.02466462217271328,10.0
44,10,0.018926401063799857,9.0
45,13,0.020670735778716896,10.0
46,14,0.021856608002313545,8.0
47,8,0.020336638670414686,10.0
48,9,0.02012928223444356,8.0
49,9,0.019858530205157068,10.0
50,12,0.017592121846973896,10.0
51,11,0.016837780787186188,9.0
52,9,0.016659461272259552,10.0
53,10,0.017876041401177645,9.0
54,11,0.019092572006312283,9.0
55,8,0.017190751968882978,10.0
56,14,0.017451014768864428,9.0
57,12,0.016351497111221153,10.0
58,10,0.017164873983711006,10.0
59,9,0.017598591330978606,8.0
60,10,0.01567661240696907,10.0
61,9,0.017188862587014835,9.0
62,9,0.014772403674821058,9.0
63,9,0.014702207719286283,10.0
64,9,0.016793307330873277,10.0
65,10,0.015707456227391958,9.0
66,12,0.015970504920308787,8.0
67,10,0.01645744750276208,8.0
68,10,0.015204797685146331,8.0
69,9,0.015023138167129623,9.0
70,9,0.01466520099590222,9.0
71,9,0.015371016330189176,9.0
72,10,0.01856070226058364,8.0
73,11,0.015783622606911442,9.0
74,8,0.015211891091894358,9.0
75,10,0.018403775803744794,10.0
76,10,0.01788116917014122,9.0
77,10,0.01631144778802991,9.0
78,10,0.01728609073907137,10.0
79,10,0.016701572015881537,10.0
80,8,0.021879817359149456,8.0
81,9,0.015779447327885363,11.0
82,10,0.019418814592063426,10.0
83,13,0.01696455621948609,10.0
84,10,0.02159594912081957,9.0
85,10,0.02051453376188874,9.0
86,9,0.018629951919946406,10.0
87,9,0.01750326073831982,9.0
88,10,0.02025626376271248,9.0
89,10,0.02005054447799921,9.0
90,10,0.02009393014013767,9.0
91,10,0.01996232233941555,9.0
92,11,0.019675537012517452,10.0
93,10,0.01846118373796344,9.0
94,9,0.023602512354652088,10.0
95,10,0.018834946770220996,9.0
96,8,0.018771013943478465,10.0
97,8,0.021506531280465424,9.0
98,10,0.023916509933769703,9.0
