Episode,Steps,Training_Loss,Evaluation_Return
1,22,0.0,9.0
2,14,0.0,9.0
3,14,0.0,9.0
4,11,0.0,9.0
5,24,1.0217174643819982,8.0
6,13,0.9155470545475299,10.0
7,11,0.8428790406747297,8.0
8,15,0.780514140923818,9.0
9,25,0.6877993655204773,8.0
10,17,0.5978602100821102,9.0
11,12,0.5339313000440598,10.0
12,12,0.4627571478486061,9.0
13,16,0.40452107787132263,10.0
14,16,0.35658905655145645,10.0
15,22,0.3025738434358077,9.0
16,11,0.24918044426224448,9.0
17,16,0.2125528333708644,10.0
18,25,0.17570444524288178,9.0
19,23,0.14178792225277942,9.0
20,10,0.11674733608961105,11.0
21,13,0.11149229739721005,9.0
22,38,0.09209942307911421,10.0
23,17,0.07534397612599765,10.0
24,10,0.06855940520763397,9.0
25,10,0.06689858585596084,8.0
26,69,0.05267796886787898,9.0
27,9,0.041974305278725095,9.0
28,30,0.03710205995788177,10.0
29,13,0.03340600975430929,12.0
30,12,0.029249565365413826,10.0
31,8,0.027185338782146573,10.0
32,51,0.02376590632632667,9.0
33,37,0.018888806571831573,11.0
34,15,0.014519488594184319,11.0
35,17,0.013949914534083185,8.0
36,10,0.012693180609494448,9.0
37,11,0.014164398170330307,9.0
38,11,0.012076971925456415,9.0
39,9,0.014561841057406532,9.0
40,19,0.0127113995289332,10.0
41,20,0.01130134032573551,9.0
42,10,0.01348401210270822,10.0
43,9,0.01088037279744943,8.0
44,28,0.013347402497726892,9.0
45,14,0.012165890574189169,9.0
46,11,0.010362551632252607,10.0
47,15,0.013154322188347578,8.0
48,10,0.014135955926030874,8.0
49,13,0.011030396733146448,9.0
50,9,0.014906327550609907,10.0
51,11,0.015986282886429268,10.0
52,15,0.01432086272786061,9.0
53,11,0.016395400616933,10.0
54,14,0.01654684846289456,10.0
55,12,0.016126313828863204,10.0
56,9,0.014739448928998576,10.0
57,10,0.018079140526242553,8.0
58,10,0.013550800876691938,10.0
59,13,0.01476854752176083,9.0
60,9,0.013120845788054995,9.0
61,10,0.016047462821006775,9.0
62,13,0.021113409445835993,8.0
63,17,0.0187271297635401,9.0
64,11,0.01773624774068594,9.0
65,9,0.017686419085496,10.0
66,11,0.019644670442424038,11.0
67,9,0.015394583861860964,10.0
68,9,0.018817183406402666,8.0
69,16,0.018758079269900918,10.0
70,14,0.015837891892130886,10.0
71,13,0.01659560762345791,10.0
72,13,0.01842734540024629,9.0
73,11,0.021175233647227287,10.0
74,11,0.02077624692835591,10.0
75,12,0.01797084983748694,9.0
76,12,0.022320155597602327,9.0
77,13,0.023014698535777055,10.0
78,10,0.021222742088139058,10.0
79,11,0.02089530195702206,10.0
80,9,0.02087419956094689,8.0
81,16,0.018744549510302022,8.0
82,16,0.018969309283420444,9.0
83,10,0.026806477829813956,9.0
84,9,0.024172066503928766,8.0
85,11,0.022786124355413696,8.0
86,10,0.025369968358427288,9.0
87,11,0.027633411132476547,10.0
88,11,0.025314187969673763,10.0
89,9,0.029986426441205874,11.0
90,11,0.02467636023224755,9.0
91,11,0.03038398345763033,9.0
92,13,0.02570609633739178,8.0
93,10,0.027378096617758273,11.0
94,10,0.029277724027633668,9.0
95,14,0.02710104707096304,10.0
96,9,0.030889061383075185,9.0
97,9,0.02428912278264761,10.0
98,11,0.028429104523225265,9.0
99,10,0.036518453434109685,9.0
100,11,0.03166736289858818,11.0
101,9,0.02768151234421465,9.0
102,9,0.032044256726900734,9.0
103,11,0.02587580858645114,10.0
104,8,0.02702629240229726,10.0
105,10,0.037307197041809556,9.0
106,9,0.028678034742673237,8.0
107,9,0.03624926279816362,10.0
108,12,0.03439922925705711,8.0
109,9,0.03337324120932155,10.0
110,10,0.03404112029820681,9.0
111,10,0.034881064854562285,10.0
112,8,0.032711317064240575,11.0
113,9,0.03706154620481862,10.0
114,11,0.03768783604556864,10.0
115,9,0.033329048504432045,10.0
116,12,0.037636388558894396,9.0
117,9,0.03704465035763052,9.0
118,9,0.03413668336967627,10.0
119,15,0.035376851757367454,9.0
120,11,0.03839039633219892,9.0
121,8,0.03333895350806415,11.0
122,10,0.03410696052014828,9.0
123,10,0.04440169241279364,10.0
124,13,0.04187140513498049,9.0
125,9,0.030597582459449768,10.0
126,11,0.03362371924925934,10.0
127,11,0.037361199374903335,11.0
128,9,0.03096206279264556,11.0
129,9,0.03590208147135046,10.0
130,11,0.03593133779411966,10.0
131,11,0.03229006913236596,9.0
132,11,0.04290961203250018,10.0
133,10,0.03441462367773056,10.0
134,11,0.042542680420658806,10.0
135,8,0.043855617521330714,10.0
136,11,0.037041444670070305,9.0
137,12,0.045612472109496593,11.0
138,12,0.04227613673234979,10.0
139,13,0.04296605532559065,10.0
140,9,0.042368285150991544,9.0
141,10,0.03853410873562098,8.0
142,8,0.04643820505589247,12.0
143,9,0.046732617956068784,12.0
144,9,0.043095038996802434,8.0
145,16,0.04283278516959399,10.0
146,10,0.04834693558514118,9.0
147,9,0.043297101019157305,11.0
148,9,0.04630843694839212,10.0
149,10,0.049181205406785014,8.0
150,10,0.044811968505382535,11.0
151,9,0.04748732762204276,12.0
152,10,0.043904151394963266,8.0
153,10,0.03948664534837008,10.0
154,10,0.04959001317620278,9.0
155,8,0.04990859981626272,9.0
156,11,0.04982562498612837,10.0
157,13,0.057667841418431356,10.0
158,12,0.04812688225259384,9.0
159,11,0.05086201564832167,9.0
160,9,0.04694933940966924,10.0
161,10,0.04361405409872532,9.0
162,10,0.04948438629508019,9.0
163,10,0.054537327215075496,9.0
164,9,0.048669796230064497,9.0
165,9,0.05332489849792586,9.0
166,9,0.0529559836205509,10.0
167,9,0.04621858894824982,9.0
168,8,0.05063894880004227,10.0
169,10,0.03577075442299247,8.0
170,9,0.04168543695575661,9.0
171,8,0.04247286869212985,12.0
172,13,0.043453606561972544,15.0
173,16,0.04883596580475569,17.0
174,11,0.04586472396146168,9.0
175,10,0.04562395885586738,9.0
176,9,0.051308597127596535,9.0
177,10,0.042442320846021175,10.0
178,10,0.058912959322333334,10.0
179,10,0.045286479964852334,10.0
180,9,0.04536683236559232,8.0
181,10,0.050391549989581105,9.0
182,8,0.03710372559726238,10.0
