Episode,Steps,Training_Loss,Evaluation_Return
1,11,0.0,8.0
2,10,0.0,10.0
3,16,0.0,9.0
4,32,1.1109146475791931,10.0
5,16,1.0479029640555382,8.0
6,36,0.894774897230996,10.0
7,14,0.772116346018655,11.0
8,15,0.6890951633453369,10.0
9,11,0.62771752205762,8.0
10,18,0.5534641279114617,10.0
11,17,0.47001242812942057,9.0
12,13,0.39895902230189395,10.0
13,17,0.3381937654579387,8.0
14,14,0.28072283949170795,10.0
15,21,0.23004756442138127,9.0
16,9,0.18779494033919442,10.0
17,14,0.18122902725424087,9.0
18,15,0.14587680200735728,10.0
19,17,0.12637528777122498,10.0
20,14,0.10270262722458158,10.0
21,9,0.09084098206626044,9.0
22,10,0.08007077723741532,9.0
23,12,0.07510996609926224,9.0
24,22,0.06905771368606524,11.0
25,27,0.05777831692938452,13.0
26,12,0.049892901753385864,11.0
27,17,0.04609724090379827,9.0
28,22,0.0402810565111312,12.0
29,45,0.03072929196059704,9.0
30,13,0.02456063261398902,10.0
31,12,0.024594833919157583,9.0
32,14,0.021014846728316376,9.0
33,10,0.020408402755856515,9.0
34,10,0.019077789224684238,9.0
35,15,0.018787541799247263,10.0
36,12,0.019107757757107418,10.0
37,11,0.01628644908355041,11.0
38,17,0.018087095854913488,10.0
39,13,0.01539181538212758,11.0
40,13,0.01939395944086405,9.0
41,11,0.015339267186143181,9.0
42,18,0.015807819811420307,11.0
43,16,0.015914301504381,9.0
44,10,0.014838647749274968,11.0
45,14,0.01673749415203929,9.0
46,9,0.015000718645751476,9.0
47,12,0.012853538539881507,10.0
48,22,0.012964597522196445,12.0
49,13,0.014750109627269782,12.0
50,11,0.013713466342199932,10.0
51,11,0.012561414390802383,10.0
52,11,0.01070517170327631,10.0
53,12,0.013348574051633477,11.0
54,12,0.011732325268288454,9.0
55,12,0.013893666095100343,9.0
56,14,0.010688876766445381,9.0
57,14,0.012497890607586928,10.0
58,19,0.013378711123215524,12.0
59,12,0.011127216004145643,9.0
60,13,0.015443687183925739,11.0
61,10,0.015623966325074434,11.0
62,10,0.016259622760117054,9.0
63,15,0.01529545026520888,8.0
64,9,0.01382614765316248,11.0
65,11,0.01502472594041716,9.0
66,10,0.014725718274712562,10.0
67,9,0.01596277890106042,12.0
68,17,0.017722467344035122,11.0
69,14,0.015774654557130167,10.0
70,11,0.015500746328722347,12.0
71,11,0.01708814891224558,11.0
72,11,0.015817269852215595,12.0
73,9,0.016052513900730345,9.0
74,9,0.01584518825014432,11.0
75,13,0.018914855264413815,10.0
76,10,0.022438877914100885,10.0
77,17,0.01856495620792403,10.0
78,13,0.016539541825365562,11.0
79,11,0.019114740065891634,12.0
80,10,0.019469932094216345,10.0
81,12,0.019771337353934843,10.0
82,9,0.019162788055837154,10.0
83,11,0.021734076806090095,9.0
84,12,0.021096656719843548,9.0
85,11,0.020253813402219253,9.0
86,13,0.022257630068522233,11.0
87,13,0.024455727292941168,12.0
88,14,0.01888180198147893,10.0
89,8,0.0247856043279171,10.0
90,11,0.02091640449891036,13.0
91,9,0.02287395764142275,10.0
92,13,0.023367023525329735,12.0
93,9,0.02652288062704934,10.0
94,13,0.029274638527287886,11.0
95,10,0.0219298105686903,11.0
96,9,0.026797077515059047,12.0
97,9,0.024745924657003746,10.0
98,11,0.029894787818193436,10.0
99,11,0.028765493495897812,12.0
100,13,0.024302379586375676,13.0
101,10,0.026046639122068883,12.0
102,11,0.028722784058614212,10.0
103,11,0.028576408174227585,10.0
104,9,0.029929000263412792,10.0
105,12,0.024283100850880146,13.0
106,10,0.029393864143639804,9.0
107,13,0.02354483800725295,10.0
108,10,0.03378036879003048,11.0
109,10,0.033323487639427184,12.0
110,16,0.03328162315301597,14.0
111,12,0.026585714348281424,10.0
112,12,0.03205011133104563,11.0
113,15,0.031113274643818536,14.0
114,13,0.03150927977493176,11.0
115,14,0.03597414307296276,11.0
116,10,0.03374568168073892,11.0
117,11,0.036146787757223305,12.0
118,14,0.03466916124203375,10.0
119,11,0.03572051193226467,15.0
120,14,0.03872107960549848,10.0
121,10,0.039647766016423704,12.0
122,13,0.03608114831149578,12.0
123,15,0.05005624008675416,13.0
124,12,0.03810798671717445,10.0
125,13,0.0388899939851119,12.0
126,12,0.029389369456718367,12.0
127,13,0.0352636301316894,13.0
128,12,0.04140762006863952,14.0
129,13,0.03681234370630521,10.0
130,11,0.039173959669741715,12.0
131,14,0.04045738186687231,14.0
132,12,0.03768981465448936,13.0
133,10,0.0408952321857214,11.0
134,17,0.038196224281016516,14.0
135,11,0.0381679352034222,10.0
136,11,0.0429400811818513,14.0
137,13,0.04034046599498162,13.0
138,11,0.03997299108992924,10.0
139,11,0.04721699350259521,15.0
140,13,0.049362991005182266,15.0
141,13,0.04800395638896869,13.0
142,9,0.047029982838365764,15.0
143,14,0.050279662013053894,13.0
144,13,0.04013107860317597,16.0
145,15,0.04506839935978254,13.0
146,12,0.05074020273362597,11.0
147,10,0.05043663661926985,13.0
148,11,0.04737123423679308,13.0
149,12,0.048824127142628036,14.0
150,12,0.04250723340859016,15.0
151,14,0.043414264119097164,13.0
152,8,0.050286684185266495,14.0
153,12,0.05742732435464859,13.0
154,13,0.051647896806781106,14.0
155,19,0.053764328360557556,12.0
156,11,0.05851713906634937,12.0
157,10,0.05479686260223389,13.0
158,14,0.04894346105200904,12.0
159,14,0.05473128067595618,13.0
160,9,0.055858749999768205,15.0
161,9,0.05105046969321039,13.0
162,13,0.06313614318004021,12.0
163,11,0.055331640114838425,14.0
164,16,0.050499067874625325,10.0
165,9,0.07027123454544279,14.0
166,15,0.05989559416969617,11.0
167,10,0.056158912181854245,15.0
168,14,0.06785305802311216,13.0
169,13,0.060321096904002704,15.0
170,16,0.05738834850490093,12.0
171,17,0.06477595865726471,14.0
172,16,0.05734223290346563,18.0
173,14,0.06351798892553363,12.0
174,12,0.06995490022624533,14.0
175,13,0.059084127155634075,11.0
176,12,0.07525076189388831,12.0
177,15,0.06905592978000641,14.0
178,14,0.06443655544093677,16.0
179,11,0.06540352512489665,17.0
180,18,0.05518862336046166,13.0
181,13,0.05827007299432388,14.0
182,11,0.06261462040922859,14.0
183,16,0.06852887198328972,14.0
184,14,0.06201528571546078,18.0
185,16,0.05066629097564146,13.0
186,14,0.07138751726597548,18.0
187,15,0.07124080136418343,13.0
188,14,0.05810704295124326,17.0
189,16,0.07269357691984624,14.0
190,13,0.07289459298436458,12.0
191,15,0.06440258622169495,17.0
192,14,0.07880086425159659,12.0
193,14,0.0708537460970027,13.0
194,14,0.06991979000823838,14.0
195,15,0.0735853170355161,14.0
196,14,0.08086637726851872,12.0
197,12,0.08044501394033432,11.0
198,13,0.07239509058686402,15.0
199,14,0.07375841867178679,13.0
200,16,0.07166445965413004,15.0
201,12,0.07510816243787606,14.0
202,16,0.07615694962441921,12.0
203,12,0.07090351295967896,19.0
204,16,0.07641649176366627,13.0
205,12,0.0963637251406908,19.0
