Episode,Steps,Training_Loss,Evaluation_Return
1,11,0.0,9.0
2,11,0.0,10.0
3,32,0.0,9.0
4,14,0.0,9.0
5,9,0.0,9.0
6,39,0.0,9.0
7,12,0.0,9.0
8,18,0.0,10.0
9,36,0.0,8.0
10,11,0.0,9.0
11,9,0.0,10.0
12,13,0.0,10.0
13,20,0.0,8.0
14,11,0.0,10.0
15,20,1.0859816074371338,11.0
16,16,0.9925111494958401,9.0
17,11,0.9076256806200201,8.0
18,25,0.8059838366508484,8.0
19,16,0.6985494382679462,9.0
20,36,0.5677042528986931,11.0
21,27,0.4165398357091127,11.0
22,39,0.2979064526466223,10.0
23,14,0.22476483562162944,9.0
24,11,0.1931656002998352,8.0
25,10,0.16859347522258758,10.0
26,22,0.14555822922424835,10.0
27,13,0.1205471817117471,10.0
28,13,0.1058257044507907,9.0
29,27,0.0888323160233321,9.0
30,19,0.07103725718824487,11.0
31,14,0.06109040682869298,12.0
32,17,0.05375163322862457,9.0
33,13,0.0479626337496134,12.0
34,10,0.04365802779793739,10.0
35,16,0.039627898717299104,12.0
36,11,0.03705530444329435,10.0
37,45,0.03079466749396589,11.0
38,40,0.023527233209460974,13.0
39,29,0.01974033740959291,12.0
40,14,0.018562698071556433,12.0
41,13,0.01595831261231349,12.0
42,21,0.0160173045560008,12.0
43,20,0.014397775894030929,9.0
44,13,0.014320311996226128,9.0
45,23,0.013934820404519205,9.0
46,15,0.013040189569195112,9.0
47,14,0.012416563129850797,11.0
48,11,0.012194071388380094,13.0
49,12,0.016409198055043817,11.0
50,14,0.014917025143014533,9.0
51,17,0.013937401749631938,9.0
52,13,0.013474522015223136,10.0
53,12,0.014361897095416984,12.0
54,18,0.014478620038264327,12.0
55,10,0.01440135035663843,9.0
56,13,0.014403618585604887,12.0
57,10,0.014808373246341943,12.0
58,11,0.014820362356576052,10.0
59,11,0.013826238160783594,9.0
60,10,0.013931583892554045,12.0
61,11,0.014233432794836435,13.0
62,15,0.014424033214648564,10.0
63,12,0.014551049486423532,12.0
64,13,0.01673999450241144,12.0
65,10,0.017802115809172393,12.0
66,12,0.016257281182333827,10.0
67,13,0.017187412541646224,10.0
68,12,0.017320879502221942,10.0
69,12,0.016856800764799118,12.0
70,10,0.016436912678182126,11.0
71,11,0.01861130395396189,12.0
72,13,0.018047792335542347,13.0
73,12,0.017408718743051093,11.0
74,19,0.020665539134489864,13.0
75,10,0.019298371486365797,12.0
76,11,0.0192733985287222,12.0
77,12,0.018702450674027205,9.0
78,14,0.02112668413402779,9.0
79,11,0.021107937293973835,13.0
80,10,0.02289491156116128,12.0
81,13,0.02245525113092019,11.0
82,11,0.022291660139506512,12.0
83,9,0.024328808817598555,10.0
84,11,0.02247170511294495,12.0
85,14,0.02170708203422172,12.0
86,10,0.026900711841881274,10.0
87,11,0.02397948926822706,8.0
88,10,0.02525188308209181,10.0
89,10,0.02488713674247265,12.0
90,12,0.023838303207109373,13.0
91,15,0.027061049391825995,12.0
92,10,0.025900313444435597,14.0
93,10,0.02711367066949606,12.0
94,14,0.026778362558356354,13.0
95,21,0.027861062304249833,13.0
96,12,0.030536326269308727,9.0
97,11,0.031120379370721905,13.0
98,12,0.02579619688913226,13.0
99,10,0.02683849912136793,13.0
100,13,0.030695712337127097,10.0
101,15,0.03293497438232104,13.0
102,14,0.034310867078602314,10.0
103,13,0.034686412662267685,11.0
104,12,0.031607815995812416,12.0
105,14,0.033152807636984756,13.0
106,16,0.03454961150418967,12.0
107,10,0.03373784516006708,13.0
108,13,0.03953342426281709,11.0
109,15,0.038085787246624626,14.0
110,14,0.03717520074652774,13.0
111,14,0.03722280250596149,14.0
112,12,0.0401585620517532,14.0
113,15,0.03748458897074063,13.0
114,13,0.04000953269692568,10.0
115,10,0.037039837799966335,12.0
116,10,0.034429680369794366,10.0
