Episode,Steps,Training_Loss,Evaluation_Return
1,17,0.0,9.0
2,16,0.0,10.0
3,36,1.1330006917317708,9.0
4,11,1.0726983005350286,10.0
5,20,0.9622291147708892,9.0
6,9,0.8721789187855191,10.0
7,12,0.8134752959012985,10.0
8,25,0.7176770639419555,9.0
9,17,0.6161273086772245,10.0
10,18,0.5213343832227919,9.0
11,22,0.4289169555360621,9.0
12,12,0.3539128427704175,10.0
13,20,0.30827841311693194,9.0
14,9,0.26594868302345276,8.0
15,9,0.22682009637355804,9.0
16,11,0.20675513690168207,9.0
17,52,0.1503461986207045,9.0
18,9,0.11134819851981269,10.0
19,16,0.09849522868171334,10.0
20,13,0.0877696699821032,8.0
21,11,0.07807964086532593,10.0
22,14,0.06809419845896107,9.0
23,9,0.06427163423763381,10.0
24,9,0.056506108906533986,9.0
25,13,0.05554332813391319,9.0
26,16,0.05077570164576173,11.0
27,9,0.048456878711779915,12.0
28,22,0.04136817749928345,11.0
29,19,0.03535940115781207,11.0
30,16,0.0339231442194432,12.0
31,15,0.029312701150774955,11.0
32,11,0.028511099856008183,12.0
33,13,0.025435201107309416,11.0
34,12,0.02347050312285622,11.0
35,12,0.023177078769852717,11.0
36,8,0.0207022501854226,10.0
37,34,0.020889404394170818,9.0
38,20,0.017520533921197057,11.0
39,13,0.017060328346605484,10.0
40,15,0.015842376090586186,11.0
41,11,0.013694360259581696,11.0
42,12,0.017181447008624673,10.0
43,15,0.016756138888498147,11.0
44,16,0.015144508564844728,9.0
45,11,0.014849047769199718,10.0
46,12,0.012133579623575011,10.0
47,16,0.012802254350390285,9.0
48,11,0.013021777299317446,10.0
49,22,0.013909362637522545,11.0
50,9,0.010404554299182363,9.0
51,9,0.011742746405717399,10.0
52,14,0.014872961211949587,11.0
53,9,0.012945099112888178,11.0
54,11,0.01231783607297323,11.0
55,9,0.01253563372625245,9.0
56,15,0.012599829801668723,9.0
57,10,0.010908952681347728,10.0
58,8,0.014226465136744082,10.0
59,11,0.01544643481346694,9.0
60,12,0.01546387638275822,9.0
61,11,0.015658122148703445,10.0
62,9,0.015218205439547697,10.0
63,10,0.016219857800751924,9.0
64,15,0.017582811787724494,9.0
65,11,0.015375515022738413,9.0
66,10,0.012840777821838855,10.0
67,9,0.017593980042470828,10.0
68,11,0.016626621850512245,10.0
69,11,0.016381056301973083,10.0
70,8,0.016488228226080537,8.0
71,13,0.014870642899320675,10.0
72,14,0.016548562129693373,11.0
73,12,0.019349117220068972,10.0
74,11,0.020049063658172436,9.0
75,16,0.019487065030261874,11.0
76,9,0.017451358027756214,10.0
77,10,0.01631181873381138,11.0
78,10,0.018877434823662043,11.0
79,16,0.017987508908845484,8.0
80,10,0.018350460892543198,8.0
81,15,0.024301985961695513,9.0
82,11,0.022891537032344124,11.0
83,11,0.02295445515350862,10.0
84,9,0.021430233907368448,10.0
85,9,0.019474947411153052,10.0
86,9,0.021849546891947586,10.0
