Episode,Steps,Training_Loss,Evaluation_Return
1,15,0.0,9.0
2,12,0.0,9.0
3,28,0.0,10.0
4,16,0.0,10.0
5,23,0.0,10.0
6,17,0.0,8.0
7,34,0.0,10.0
8,15,0.0,9.0
9,34,0.0,9.0
10,29,0.0,10.0
11,21,0.0,8.0
12,16,1.12655827999115,9.0
13,30,1.0086559116840363,8.0
14,24,0.8435579140981039,9.0
15,22,0.7181219323114916,10.0
16,32,0.5786277605220675,9.0
17,31,0.43055147028738455,10.0
18,36,0.30475543025467133,9.0
19,12,0.229203213006258,10.0
20,12,0.1991506889462471,10.0
21,16,0.16654397174715996,10.0
22,10,0.141744165122509,10.0
23,16,0.12154573714360595,9.0
24,13,0.10173829530294125,9.0
25,12,0.09135084537168343,8.0
26,14,0.08058539245809827,10.0
27,18,0.06813177466392517,10.0
28,13,0.05975701831854307,11.0
29,13,0.052559678371136,9.0
30,19,0.04739496347151304,11.0
31,18,0.04039605086048444,12.0
32,13,0.03656934774838961,11.0
33,18,0.031275732132295765,13.0
34,21,0.02785034566408112,9.0
35,18,0.024518942563898034,12.0
36,20,0.02128569632768631,10.0
37,12,0.0188571666367352,11.0
38,14,0.017795301707727567,14.0
39,16,0.01818181882845238,11.0
40,10,0.01661632489413023,12.0
41,19,0.01688761582696124,9.0
42,13,0.015067508587470422,11.0
43,15,0.013412120441595713,11.0
44,14,0.011943472283227103,9.0
45,17,0.012057410827016128,13.0
46,13,0.011723660147533966,13.0
47,21,0.010658490028054942,13.0
48,12,0.009500205633230507,9.0
49,15,0.009627054849018653,10.0
50,15,0.009810545388609171,10.0
51,11,0.010411839762871916,12.0
52,9,0.010241134092211723,11.0
53,10,0.009522224077954888,10.0
54,26,0.009289785753935575,10.0
55,11,0.008896344764666124,10.0
56,10,0.009333813935518265,10.0
57,11,0.009325972758233547,10.0
58,11,0.009676179594614288,12.0
59,11,0.009978916157375683,9.0
60,12,0.009603649959899485,12.0
61,11,0.010356647809120741,10.0
62,14,0.010061520484409161,9.0
63,14,0.011717795593930143,10.0
64,8,0.009882039506919682,12.0
65,15,0.011228184401988982,11.0
66,12,0.010473569195407132,11.0
67,15,0.011811475766201814,10.0
68,15,0.012441875350972017,10.0
69,13,0.012587554609546294,12.0
70,13,0.012325166151500665,8.0
71,13,0.01297761077204576,11.0
72,14,0.012782117152320487,11.0
73,11,0.014244244941933588,10.0
74,11,0.014005753465674141,11.0
75,12,0.01313268307906886,9.0
76,9,0.014585456190009912,10.0
77,14,0.01464750338345766,9.0
78,11,0.01556465681642294,9.0
79,8,0.01448257698211819,12.0
80,11,0.014317789623005823,11.0
81,13,0.016181734390556812,11.0
82,18,0.015648487851851516,8.0
83,13,0.017295460431621626,9.0
84,11,0.017273733392357826,10.0
85,11,0.01746486753902652,11.0
86,9,0.018036901536915038,9.0
87,16,0.01881943439366296,10.0
88,13,0.02010767964216379,11.0
89,9,0.01882169923434655,12.0
90,10,0.02166148293763399,9.0
91,12,0.020562440156936646,10.0
92,13,0.020544377227242176,9.0
93,11,0.021351538090543312,8.0
94,12,0.020799176612248022,10.0
95,12,0.022171964480852086,9.0
96,9,0.022342298386825457,10.0
97,12,0.02051289426162839,11.0
98,14,0.022887940518558025,10.0
99,11,0.02390424483879046,9.0
100,12,0.022834449540823698,10.0
101,13,0.023292396360865004,12.0
102,12,0.026105586905032396,11.0
103,9,0.025306751537654135,13.0
104,10,0.02408685479313135,11.0
105,13,0.024596192945654575,10.0
106,10,0.024235691875219345,11.0
107,10,0.0264157859608531,10.0
108,13,0.025935383656850226,10.0
109,9,0.028955176058742736,12.0
110,15,0.029040000587701797,11.0
111,11,0.027981840074062347,11.0
112,10,0.030624831840395928,12.0
113,12,0.028917791787534952,10.0
114,11,0.030046729709614407,10.0
115,12,0.028717700857669115,13.0
116,10,0.02860103324055672,12.0
117,9,0.030643925898604922,12.0
118,17,0.032436796628377014,10.0
119,13,0.031606745118132,10.0
120,15,0.03332833188275496,12.0
121,11,0.03170387667011131,10.0
122,13,0.03380133498173494,8.0
123,14,0.03555491007864475,11.0
124,12,0.03622872615233064,13.0
125,11,0.034738700328902763,14.0
126,11,0.034651745280081574,11.0
127,10,0.03355806767940521,10.0
128,9,0.037564929160806865,13.0
129,12,0.03541124767313401,10.0
130,10,0.036097810789942744,13.0
131,14,0.03431807378573077,13.0
132,12,0.03708338364958763,8.0
133,14,0.03826590707259519,11.0
134,13,0.03735944886620228,12.0
135,9,0.04056979281206926,13.0
136,11,0.03304121219976382,14.0
137,14,0.041396316406982284,12.0
138,10,0.038108430430293085,11.0
139,13,0.03936605198452106,12.0
140,11,0.04345153763212941,13.0
141,18,0.04089241516258982,14.0
142,12,0.038904374465346336,10.0
143,13,0.04179895898470512,10.0
144,8,0.04234783397987485,11.0
145,14,0.04204334132373333,11.0
146,10,0.04490873627364635,14.0
147,12,0.04065215401351452,13.0
148,8,0.042566502932459116,14.0
149,15,0.04299895291527112,15.0
150,12,0.04295475594699383,17.0
151,20,0.04274014225229621,14.0
152,13,0.04240204952657223,15.0
153,14,0.04531727598181793,15.0
154,13,0.04776966887024733,15.0
155,11,0.049121265722946686,16.0
156,13,0.04820143402769016,12.0
157,10,0.0465590663254261,17.0
158,12,0.0516560859978199,12.0
159,13,0.04960616506063021,14.0
160,14,0.05166050259556089,14.0
161,17,0.04874100492281072,13.0
162,14,0.04921239268566881,12.0
163,15,0.05092317163944245,11.0
164,14,0.04766253594841276,12.0
165,16,0.047421122668311,14.0
166,17,0.04838858961182482,14.0
167,12,0.051886996564765774,14.0
168,13,0.05583922708263764,14.0
169,17,0.050581580356639975,15.0
170,15,0.051248540977636974,16.0
171,15,0.05459732189774513,12.0
172,14,0.05802634225359985,15.0
173,14,0.050805345443742614,14.0
174,16,0.057095471769571304,15.0
175,12,0.0494259816283981,13.0
176,16,0.05760846403427422,16.0
177,14,0.05554836003908089,13.0
178,13,0.05334787242687666,12.0
179,14,0.05972520687750408,13.0
180,20,0.05838591288775206,16.0
181,18,0.05774880386888981,15.0
182,13,0.056590334727213934,13.0
183,15,0.05985035051902135,13.0
184,14,0.05871337040194443,14.0
185,13,0.05933722337851158,17.0
186,17,0.05922220866469776,16.0
187,17,0.06164908737820737,12.0
188,15,0.0643111822505792,14.0
189,14,0.06252555788627692,14.0
190,19,0.0628836152977065,21.0
191,11,0.06127339499917897,19.0
192,12,0.06589058010528485,14.0
193,17,0.06132799408891622,19.0
194,17,0.06627806495217715,17.0
195,16,0.06597471539862454,15.0
196,19,0.06897140568808506,15.0
197,16,0.06908518634736538,16.0
198,15,0.06958485096693039,14.0
199,11,0.061262044378302315,13.0
200,19,0.0695566107567988,15.0
201,13,0.06667774457197922,15.0
202,14,0.06406408016170774,17.0
203,18,0.06820949084228939,15.0
204,18,0.06637751083407137,13.0
205,13,0.07353790734822933,12.0
206,19,0.06976075862583361,15.0
207,16,0.07648121914826334,17.0
208,15,0.06736015702287355,12.0
209,12,0.07597822323441505,14.0
210,18,0.06993649072117275,20.0
211,15,0.07509810676177343,14.0
212,21,0.06922582465977896,18.0
213,18,0.07342656619018978,19.0
214,14,0.07065153334821973,17.0
215,11,0.07566366175358946,15.0
216,18,0.07752611426015694,15.0
217,13,0.0786019810117208,19.0
218,13,0.07434890505213004,17.0
219,18,0.08060835591620868,13.0
220,14,0.0753518393529313,14.0
221,16,0.07159917498938739,16.0
222,15,0.08442298124233881,16.0
223,22,0.07790947112847459,15.0
224,15,0.08455840498209,16.0
225,13,0.07517702648272881,16.0
226,16,0.07997134188190103,20.0
227,13,0.07779325544834137,17.0
228,12,0.08776985605557759,18.0
229,17,0.08617916484089459,17.0
230,18,0.08658313834004933,19.0
231,20,0.07591559402644635,17.0
232,13,0.0770920985020124,17.0
233,19,0.08513056192743151,20.0
234,18,0.08339546869198482,18.0
235,17,0.07972660616916769,17.0
236,16,0.08015732280910015,17.0
237,20,0.07917137704789638,16.0
238,19,0.08526701225261939,18.0
239,19,0.08709592078077166,19.0
240,20,0.08880175240337848,23.0
241,15,0.09306518311301867,17.0
242,14,0.08303598420960563,13.0
243,23,0.08123546757775804,18.0
244,16,0.0861187158152461,19.0
245,15,0.09133976598580679,16.0
246,14,0.08865081518888474,21.0
247,17,0.09227471185081146,17.0
248,21,0.08476080053618976,14.0
249,15,0.08378335908055305,14.0
250,24,0.0885968084136645,18.0
251,17,0.0922064437147449,17.0
252,17,0.08872354556532468,22.0
253,19,0.09055517339392712,18.0
254,19,0.09471534663125088,19.0
255,22,0.09021022272380916,18.0
256,22,0.09048449857668443,19.0
257,22,0.08963392285460775,18.0
258,17,0.09723369645721772,18.0
259,23,0.09979186239449875,20.0
260,15,0.09922711253166198,20.0
261,38,0.09527829367863505,21.0
262,42,0.09193114297730583,18.0
263,33,0.09559360801270514,33.0
264,32,0.09824688697699457,34.0
265,31,0.09706819261754712,31.0
266,32,0.09062370820902288,29.0
267,31,0.09754005531149526,29.0
268,32,0.09142370976042002,33.0
269,23,0.0972843481146771,32.0
270,30,0.09253509131570657,65.0
271,33,0.09684031095468637,25.0
272,29,0.09141982847760463,30.0
273,30,0.09209951162338256,74.0
274,21,0.08985492161342076,160.0
275,27,0.09187752036032854,68.0
276,180,0.09265352404779859,229.0
277,102,0.08980409658568747,137.0
278,122,0.08892576109434737,264.0
279,85,0.09035084427279584,189.0
280,138,0.09049124489335911,249.0
281,149,0.08578139361019102,148.0
282,151,0.08521925095493431,282.0
283,110,0.08432482982223684,131.0
284,216,0.08027143828156921,173.0
285,121,0.07829898207887145,162.0
286,174,0.08222793040518787,104.0
287,121,0.0789416658361096,162.0
288,183,0.0781984330037904,178.0
289,188,0.07374434696233019,127.0
290,110,0.07075808375057849,156.0
291,94,0.06996334986166751,242.0
292,195,0.07045273412114535,211.0
293,309,0.06968371521886499,203.0
294,239,0.06533690752406998,173.0
295,351,0.06784990185770894,334.0
296,316,0.06418676590370133,282.0
297,334,0.0634834351865742,323.0
298,312,0.060637007849529766,334.0
299,249,0.06049919086527154,444.0
300,341,0.0645335123511004,322.0
301,347,0.06466678398465389,363.0
302,315,0.06236856470978449,431.0
303,358,0.06359303270222089,447.0
304,317,0.06111436788204246,443.0
305,485,0.05675377640681169,364.0
306,394,0.05749602288924876,500.0
307,409,0.05285736778637162,380.0
308,475,0.052875435343502385,413.0
309,401,0.05522253417277574,438.0
310,419,0.05347957325430236,409.0
311,445,0.04773854474495218,386.0
312,339,0.04059501884609549,458.0
313,381,0.03713710960477415,372.0
314,422,0.04135218156050335,452.0
315,430,0.04053385270526633,419.0
316,413,0.0392894752083468,471.0
317,413,0.043148269446692984,492.0
318,452,0.04269205201782937,456.0
319,373,0.044781033819523856,485.0
320,473,0.04630932447241608,393.0
321,440,0.04638421700986906,355.0
322,426,0.044801709993125896,381.0
323,402,0.04429116019291632,478.0
324,372,0.040689445637111424,496.0
325,430,0.04087379138949219,448.0
326,404,0.0417851878645355,463.0
327,381,0.037696883905699766,410.0
328,407,0.03861746973491386,400.0
329,419,0.04075183140973589,428.0
330,373,0.044290441092747906,444.0
331,457,0.03726647741694199,400.0
332,425,0.04134886483839877,440.0
333,392,0.037880847639640634,373.0
334,379,0.036677908423107294,366.0
335,426,0.032454484055461495,384.0
336,410,0.03814282124470238,429.0
337,397,0.039762441678088796,401.0
338,369,0.03650247025588113,416.0
339,375,0.034504596793092784,429.0
340,407,0.03594451152069691,431.0
341,363,0.03319580755315172,402.0
342,362,0.03179873714804937,361.0
343,375,0.034499374186620115,319.0
344,357,0.029717443195639272,470.0
345,373,0.029980012025757775,338.0
346,369,0.03397493904960016,337.0
347,329,0.03085167445635174,427.0
348,356,0.030727009867773172,360.0
349,373,0.03021598142998083,405.0
350,380,0.02926652239035129,320.0
351,355,0.030151455622809138,394.0
352,378,0.02401482410452984,411.0
353,336,0.026239153147928716,377.0
354,346,0.025819769336080253,375.0
355,337,0.026943186879743897,381.0
356,329,0.026518423803784746,336.0
357,355,0.02571136720091577,333.0
358,351,0.025694535621820003,295.0
359,355,0.02378699436593591,347.0
360,291,0.024657225343510763,335.0
361,330,0.022035961124030026,343.0
362,319,0.02351421389679883,330.0
363,327,0.024469402676023863,346.0
364,341,0.025382715464286953,306.0
365,337,0.022334862382459325,324.0
366,316,0.022623484095306536,375.0
367,319,0.021566445498397358,288.0
368,335,0.02121688202266762,337.0
369,315,0.019940696269853987,312.0
370,292,0.02044245226855696,336.0
371,319,0.022157290631643903,316.0
372,334,0.019141428408207383,320.0
373,330,0.019870360394953893,329.0
374,297,0.0212099242099774,329.0
375,335,0.02068883879301347,364.0
376,327,0.01911718206318517,318.0
377,301,0.016272606271275775,353.0
378,316,0.01605935516668472,317.0
379,297,0.016540241906903872,316.0
380,307,0.014844912281965212,350.0
381,310,0.01523234362013623,294.0
382,285,0.014242365892380149,283.0
383,304,0.012013128914029374,296.0
384,317,0.013362104056090151,320.0
385,302,0.011538376496057797,322.0
386,301,0.009780350512712019,302.0
387,298,0.008901233520380677,313.0
388,306,0.00935903459226597,312.0
389,306,0.008110377913302122,342.0
390,280,0.007686201368466885,331.0
391,301,0.007516537755271389,291.0
392,313,0.007149646731321149,301.0
393,296,0.006665855016664765,299.0
394,304,0.005728203643708471,302.0
395,315,0.004868441295351774,324.0
396,297,0.005212022604554835,297.0
397,279,0.004947402615076779,292.0
398,282,0.004268612259964241,267.0
399,307,0.004060662908503082,306.0
400,282,0.003250546891598117,308.0
401,284,0.003906525532316587,270.0
402,304,0.0033554106753160198,323.0
403,313,0.0030413656609881217,298.0
404,299,0.0031630123179346744,310.0
405,287,0.0033775831344342736,311.0
406,329,0.0034150432524682477,307.0
407,287,0.0035424951410394823,337.0
408,306,0.0038816652097511013,94.0
409,317,0.003817553007789764,291.0
410,305,0.003842851726746675,294.0
411,333,0.004105232074843124,336.0
412,299,0.003418700443707285,293.0
413,305,0.0034418188561265526,61.0
414,308,0.0032268495103038165,330.0
415,306,0.0035710239293490495,283.0
416,331,0.0034919929527290716,271.0
417,316,0.0032317427772979982,295.0
418,335,0.003110148352718523,21.0
419,263,0.003472837135729118,26.0
420,27,0.0047041004420154625,31.0
421,24,0.004715090909788462,27.0
422,311,0.004367900582481853,296.0
423,295,0.003406968682716301,288.0
424,318,0.0030645745465112412,330.0
425,68,0.0029456532562000897,345.0
426,301,0.007028745979825236,361.0
427,288,0.00495832313532042,262.0
428,297,0.004912651399631047,321.0
429,258,0.004778476381936569,293.0
430,289,0.006232148768387535,223.0
431,286,0.0055131223891256055,255.0
432,281,0.0043730178233828505,320.0
433,274,0.0036417012811165955,300.0
434,286,0.0051636161784139965,246.0
435,258,0.004752825925874798,272.0
436,267,0.004456863804216312,297.0
437,271,0.004211194382385932,251.0
438,292,0.003948404599014631,375.0
439,259,0.0033205585472998625,282.0
440,258,0.0035640232977024173,299.0
441,274,0.0036370964013112293,332.0
442,262,0.0038938980063251112,302.0
443,277,0.004961434468485765,239.0
444,311,0.003646901672424515,284.0
445,306,0.004440448228397263,500.0
446,306,0.003852515876596775,390.0
447,292,0.005044094065390846,329.0
448,281,0.004915259794760462,231.0
449,247,0.004012442554482957,220.0
450,316,0.004125812895663445,387.0
