Episode,Steps,Training_Loss,Evaluation_Return
1,34,0.0,9.0
2,34,0.0,10.0
3,13,0.0,10.0
4,23,0.0,8.0
5,27,0.0,10.0
6,39,0.0,9.0
7,23,0.0,9.0
8,58,0.0,9.0
9,18,0.856325068644115,9.0
10,21,0.31912483807121006,9.0
11,11,0.08448094061829826,9.0
12,12,0.053187867936988674,15.0
13,15,0.0304105244576931,12.0
14,11,0.016827661290087483,11.0
15,11,0.010379040656103329,12.0
16,32,0.0044528340222314,10.0
17,13,0.0017263344041286753,9.0
18,19,0.0013357043744211918,10.0
19,15,0.0013437890835727255,8.0
20,17,0.0014183919274193399,9.0
21,16,0.0013101220611133613,9.0
22,14,0.001487742710326399,8.0
23,23,0.0016547958771495716,9.0
24,13,0.0017473014573065133,9.0
25,18,0.0020441246775185894,9.0
26,26,0.0019227416532185788,9.0
27,17,0.0021339827901957664,9.0
28,18,0.0023068467465539775,8.0
29,25,0.0024733346793800594,10.0
30,13,0.003117902670055628,12.0
31,16,0.0029315375140868127,9.0
32,9,0.0033606746389220157,16.0
33,13,0.0034408100629941775,8.0
34,21,0.0036767672725199234,12.0
35,16,0.003908289028913714,12.0
36,17,0.00418648579815293,12.0
37,12,0.00434555879716451,17.0
38,10,0.004505385481752455,10.0
39,12,0.004887700003261368,10.0
40,12,0.0050304830850412445,10.0
41,14,0.005144831025972962,9.0
42,17,0.0055293144849950775,14.0
43,14,0.00527074168037091,12.0
44,15,0.005951256615420183,14.0
45,18,0.0055881836968991495,12.0
46,10,0.005516436230391264,13.0
47,12,0.0062721097298587365,10.0
48,13,0.006788617107444084,9.0
49,13,0.006482543244671363,10.0
50,12,0.007224517602783938,9.0
51,10,0.006929427245631814,8.0
52,9,0.008036545012146235,9.0
53,16,0.007926774065708742,8.0
54,15,0.008165531574438016,13.0
55,13,0.008719498434892068,10.0
56,15,0.008343285694718362,10.0
57,11,0.008417922326109627,10.0
58,19,0.009513268614874074,9.0
59,13,0.009049188882972185,12.0
60,12,0.009212993240604797,13.0
61,13,0.008962578677500669,12.0
62,11,0.009971865537491712,12.0
63,15,0.010614373410741488,10.0
64,11,0.010613525116985495,9.0
65,15,0.01063995718335112,9.0
66,11,0.009990239769897678,8.0
67,15,0.01096764945735534,10.0
68,17,0.011449548525407034,9.0
69,10,0.01065218634903431,13.0
70,14,0.0115562278910407,9.0
71,10,0.011548886261880397,11.0
72,15,0.011731990923484167,14.0
73,14,0.01175290931548391,8.0
74,16,0.01244128163671121,10.0
75,10,0.013065757136791945,10.0
76,18,0.012746835593134165,12.0
77,9,0.01304652624660068,10.0
78,13,0.013375772593113093,10.0
79,14,0.013001226553959506,9.0
80,12,0.013265551843990883,11.0
81,15,0.013639487884938717,8.0
82,11,0.014465454711832783,11.0
83,12,0.015346588644509515,9.0
84,15,0.01410927859445413,10.0
85,11,0.015934803269126198,12.0
86,12,0.015563238644972444,9.0
87,9,0.014444148167967796,9.0
88,14,0.01546320305871112,10.0
