Episode,Steps,Training_Loss,Evaluation_Return
1,40,0.0,9.0
2,19,0.0,10.0
3,9,0.0,9.0
4,11,0.0,9.0
5,18,0.0,10.0
6,21,0.0,10.0
7,22,0.0,9.0
8,16,0.0,9.0
9,17,0.0,9.0
10,17,0.0,9.0
11,12,0.0,9.0
12,15,0.0,8.0
13,23,0.0,9.0
14,9,0.0,10.0
15,14,1.1260757744312286,9.0
16,16,1.040560271590948,8.0
17,15,0.9392167448997497,8.0
18,29,0.808401765494511,8.0
19,24,0.6677284215887388,9.0
20,13,0.5713153206385099,10.0
21,24,0.4809354655444622,9.0
22,49,0.3326339794664967,10.0
23,13,0.22490496360338652,10.0
24,19,0.18725000243437917,9.0
25,23,0.1502139775649361,8.0
26,17,0.12009184676058152,9.0
27,15,0.10273229827483495,9.0
28,35,0.08275871617453438,10.0
29,28,0.06386505772492715,9.0
30,14,0.05609976899410997,10.0
31,18,0.0499139330867264,12.0
32,29,0.043983788197410514,9.0
33,22,0.03831824711100622,10.0
34,15,0.03312375470995903,11.0
35,15,0.031527049963672955,9.0
36,11,0.029720328748226166,10.0
37,12,0.025450674661745627,9.0
38,15,0.024388247852524123,9.0
39,12,0.022695340526600678,9.0
40,26,0.02059841829423721,10.0
41,13,0.018394143105699465,9.0
42,19,0.017995181346410198,10.0
43,15,0.016576102065543333,10.0
44,11,0.016544473188167267,11.0
45,22,0.015058225486427546,10.0
46,14,0.014848418467278992,9.0
47,10,0.013958113081753255,10.0
48,18,0.014027927277816666,10.0
49,12,0.015345104581986865,11.0
50,15,0.013653868188460669,10.0
51,10,0.015602587442845105,10.0
52,14,0.01344329517866884,10.0
53,10,0.014101034216582774,9.0
54,17,0.012761864756398341,9.0
55,16,0.013579324819147587,9.0
56,12,0.013657252071425319,10.0
57,11,0.013431017541072586,9.0
58,10,0.012538509629666805,10.0
59,11,0.01309877625581893,11.0
60,16,0.0142642825958319,10.0
61,10,0.014197450410574675,10.0
62,16,0.015069302113261074,10.0
63,11,0.014155929823490706,10.0
64,11,0.016444780694490128,11.0
65,15,0.015443339198827743,10.0
66,16,0.01611379429232329,9.0
67,13,0.01608581540103142,10.0
68,15,0.014544663267831008,9.0
69,15,0.016429027977089086,9.0
70,10,0.015059638023376464,9.0
71,33,0.01622028092881947,9.0
72,17,0.01767344000365804,10.0
73,11,0.018101999536156654,11.0
74,30,0.01750950695325931,9.0
75,11,0.018541553989052773,9.0
76,10,0.01780330827459693,10.0
77,11,0.019938450137322598,10.0
78,9,0.019733313160638016,10.0
79,11,0.020396429706703533,10.0
80,10,0.022218623757362367,10.0
81,14,0.020983002680752958,8.0
82,13,0.02125354469395601,9.0
83,12,0.02262318010131518,10.0
84,8,0.020875744288787246,10.0
85,10,0.022624485194683075,10.0
86,10,0.02179358061403036,9.0
87,9,0.021769363433122635,9.0
88,12,0.026131901734819014,10.0
89,16,0.024015946895815432,10.0
90,10,0.026463149487972258,10.0
91,13,0.025243093044711992,10.0
92,11,0.02610502578318119,10.0
93,10,0.02666257992386818,9.0
94,10,0.027377193234860896,10.0
95,12,0.027481331955641508,9.0
96,11,0.024711385877294975,8.0
97,9,0.02880632422036595,8.0
98,12,0.02643665811046958,8.0
99,13,0.029704586817668036,10.0
100,10,0.02753437776118517,8.0
101,10,0.02924620434641838,10.0
102,15,0.027564314131935438,10.0
103,9,0.029876704845163558,10.0
104,9,0.03112158945037259,9.0
105,19,0.03093938333423514,10.0
106,13,0.031211507721589163,9.0
107,16,0.034034612122923136,9.0
108,10,0.031410875543951985,9.0
109,13,0.035941739208423175,11.0
110,8,0.030521505512297153,10.0
111,9,0.03512105511294471,10.0
112,13,0.035303473902436405,9.0
113,10,0.03127642516046762,8.0
114,10,0.03540974128991366,9.0
115,13,0.0311770337418868,9.0
116,14,0.03184461586975625,9.0
117,13,0.035968755873349995,10.0
118,9,0.039823762244648404,9.0
119,14,0.03957632902477469,8.0
120,9,0.03538701538410452,8.0
121,9,0.03828424960374832,8.0
122,15,0.036407066384951274,10.0
123,12,0.03615164291113615,10.0
124,13,0.03557724348054482,10.0
125,9,0.03675278897086779,9.0
126,10,0.03882569894194603,9.0
127,11,0.03971414776010947,9.0
128,8,0.033770003356039524,9.0
129,9,0.04157624331613382,10.0
130,11,0.03947188806804744,10.0
131,10,0.04081275817006826,9.0
132,11,0.03878876041959633,11.0
133,10,0.04248775839805603,9.0
134,10,0.04029055386781692,11.0
135,10,0.03989474885165691,9.0
136,14,0.041977869612830024,9.0
137,10,0.045425333082675934,11.0
138,11,0.045622402971441094,10.0
139,9,0.04430469498038292,10.0
140,12,0.043983603517214455,10.0
141,12,0.04965485539287329,9.0
142,9,0.04039769019517633,9.0
143,10,0.0431385800242424,10.0
144,9,0.04615096706483099,10.0
145,11,0.042677095837213776,10.0
146,11,0.04214606959034096,9.0
147,11,0.04851233586668968,11.0
148,25,0.048311704248189924,9.0
149,10,0.048187755048274994,8.0
150,10,0.04673515111207962,10.0
151,12,0.04795136861503124,10.0
152,9,0.04793502969874276,9.0
153,10,0.051025303080677986,10.0
154,9,0.05605230149295595,9.0
155,10,0.04756065923720598,9.0
156,10,0.04398351833224297,10.0
157,9,0.04764192096061177,10.0
158,9,0.05549075702826182,9.0
159,10,0.05906582847237587,11.0
160,11,0.052519488741051064,10.0
161,11,0.05577776073054834,10.0
162,9,0.05781904897756047,10.0
163,9,0.050898224115371704,8.0
164,8,0.05135043151676655,9.0
165,11,0.049652980640530586,8.0
166,9,0.05225193231470055,10.0
167,10,0.05261343382298946,9.0
168,9,0.053927730354997844,9.0
169,10,0.0539748877286911,10.0
170,8,0.05768206994980574,9.0
171,9,0.059582521518071495,10.0
172,11,0.05652608112855391,9.0
173,9,0.055195122129387326,9.0
174,10,0.05735842250287533,10.0
175,9,0.0545960341890653,10.0
176,11,0.053503129800612274,9.0
177,10,0.05396499745547771,10.0
178,11,0.0602618625218218,9.0
179,9,0.057540139804283776,9.0
180,9,0.05596649439798461,9.0
181,11,0.05591470307924531,10.0
182,11,0.05491025982932611,9.0
183,10,0.05396602265536785,11.0
184,10,0.05406038351356983,8.0
185,10,0.06197625771164894,11.0
186,11,0.05474559759551829,10.0
187,9,0.054556110666857824,10.0
188,11,0.06193899295546792,9.0
189,8,0.05475561739876866,9.0
190,10,0.06359255127608776,11.0
191,12,0.06374166253954172,9.0
192,13,0.0582003822693458,10.0
193,10,0.05494184419512749,10.0
194,12,0.05899782509853443,9.0
195,11,0.05580979856577786,9.0
196,9,0.06136495413051711,10.0
197,11,0.059296214106408035,10.0
198,11,0.062444965270432556,10.0
199,9,0.05518160346481535,9.0
200,10,0.06912659183144569,9.0
201,10,0.05844212993979454,9.0
202,10,0.06767985299229622,10.0
203,15,0.06713312392433485,11.0
204,13,0.06549089258679977,11.0
205,11,0.07471191679889505,11.0
206,10,0.06947823986411095,11.0
207,11,0.06627950648015196,14.0
208,13,0.07332767116335723,11.0
209,10,0.07720528990030288,9.0
210,9,0.0709974393248558,9.0
211,11,0.07267269119620323,12.0
212,10,0.06199836395680904,10.0
213,12,0.07357091673960288,10.0
214,9,0.061046760943200856,9.0
215,9,0.07431285000509685,10.0
216,10,0.06763020567595959,10.0
217,13,0.06770682191619506,11.0
218,11,0.07818927649747241,14.0
219,11,0.06934112310409546,11.0
220,9,0.08099061499039333,10.0
221,10,0.06513272225856781,9.0
222,11,0.07704509422183037,10.0
223,13,0.0754185811831401,11.0
224,12,0.07434222102165222,14.0
225,10,0.07776195108890534,9.0
226,16,0.07269340241327882,12.0
227,11,0.0724093873392452,12.0
228,11,0.07451404292475093,12.0
229,12,0.07727726610998313,9.0
230,16,0.07680326187983155,13.0
231,10,0.08465671688318252,10.0
232,12,0.08071785854796569,10.0
233,13,0.07687743695882651,11.0
234,11,0.08784587613560936,13.0
235,16,0.0826994595117867,18.0
236,18,0.08212608533600967,13.0
237,13,0.06931867450475693,12.0
238,13,0.07924693994797193,15.0
239,15,0.0830566202600797,13.0
240,16,0.08046481944620609,15.0
241,14,0.09170568361878395,13.0
242,13,0.0939762477691357,10.0
243,12,0.0963924266397953,12.0
244,13,0.0804078676379644,15.0
245,15,0.08831649149457614,16.0
246,14,0.08707694389990397,15.0
247,11,0.0979519479654052,13.0
248,11,0.07943081246180968,12.0
249,17,0.0963913973639993,14.0
250,13,0.08276527174390279,12.0
251,15,0.09964542140563329,13.0
252,11,0.09797140549529683,12.0
253,17,0.08735297466902171,14.0
254,14,0.09070605358907155,14.0
255,16,0.09098606510087848,12.0
256,17,0.09333199437926798,13.0
257,13,0.08953322928685409,13.0
258,14,0.09398478642106056,17.0
259,16,0.08810976706445217,17.0
260,16,0.09782297071069479,15.0
261,14,0.1084388377411025,14.0
262,15,0.10359436074892679,17.0
263,17,0.09940076378338478,17.0
264,17,0.10797926783561707,17.0
265,15,0.11149088442325591,13.0
266,20,0.10310341492295265,16.0
267,12,0.08900754060596228,19.0
268,15,0.10411569277445475,17.0
269,15,0.10158869797984758,14.0
270,17,0.1006111728356165,17.0
271,14,0.09488036643181529,14.0
272,22,0.10011216083710844,17.0
273,17,0.10867398889625773,18.0
274,18,0.11251463451319271,17.0
275,16,0.10894755693152547,14.0
276,17,0.10777997532311608,14.0
277,18,0.1024651788175106,14.0
278,18,0.1114907707605097,17.0
279,19,0.10541169110097383,17.0
280,16,0.10951682552695274,16.0
281,12,0.1218804381787777,16.0
282,15,0.1151023675998052,15.0
283,17,0.10969209933982176,15.0
284,34,0.10360159220940926,36.0
285,19,0.11489881222185336,15.0
286,15,0.1078243965903918,13.0
287,20,0.12195454016327859,22.0
288,17,0.1154480054974556,15.0
289,17,0.1190080182517276,17.0
290,18,0.11683184446560012,16.0
291,20,0.11138109974563122,23.0
292,18,0.11796237797372872,18.0
293,20,0.12577095851302147,23.0
294,39,0.1171971272963744,36.0
295,38,0.1178986694859831,19.0
296,17,0.11755065269329969,16.0
297,18,0.11794981443219715,29.0
298,16,0.11740801250562072,22.0
299,21,0.12752172634715125,22.0
300,20,0.1316412143409252,20.0
301,21,0.12292663930427461,23.0
302,33,0.12102345151431633,34.0
303,37,0.12862236314528697,20.0
304,16,0.1384444935247302,18.0
305,20,0.11302708368748426,20.0
306,32,0.11622444167733192,29.0
307,35,0.12478542051145008,22.0
308,41,0.12991177054440103,19.0
309,34,0.11794583762393278,20.0
310,39,0.12778608672893965,30.0
311,19,0.13607067379512286,32.0
312,30,0.13593603894114495,33.0
313,33,0.13528799310778128,32.0
314,38,0.14180591731871428,35.0
315,30,0.13276221379637718,37.0
316,30,0.1353026273349921,32.0
317,37,0.13108563161379583,32.0
318,24,0.13135549519211054,28.0
319,40,0.12520746570080518,30.0
320,30,0.13040247733394306,41.0
321,30,0.13599073564012845,25.0
322,29,0.14196111351765436,28.0
323,26,0.13661433498446757,32.0
324,32,0.1471435078419745,28.0
325,21,0.1383815517737752,25.0
326,26,0.13229087826151115,29.0
327,32,0.12910199724137783,24.0
328,21,0.1342486600790705,34.0
329,33,0.14291360274408804,37.0
330,36,0.13345096529357964,38.0
331,30,0.13086124509572983,42.0
332,34,0.14012817315319004,34.0
333,40,0.14011006243526936,34.0
334,27,0.14122444887955984,35.0
335,29,0.136593089278402,35.0
336,33,0.13911994704694458,35.0
337,35,0.139059465272086,33.0
338,35,0.14621245903628213,34.0
339,39,0.14572116885429773,30.0
340,35,0.1518367262823241,34.0
341,37,0.14071318426647703,39.0
342,74,0.14574303467934197,36.0
343,55,0.14473872821439396,33.0
344,32,0.13707698439247906,53.0
345,26,0.15602624559631714,27.0
346,32,0.14631913299672306,52.0
347,28,0.1329512524285487,29.0
348,38,0.14786626947553536,40.0
349,35,0.15152303150721957,86.0
350,55,0.14844759106636046,71.0
351,68,0.15594613004256697,37.0
352,52,0.15750513827571502,82.0
353,62,0.15318678391556587,98.0
354,37,0.13360945739456126,85.0
355,88,0.15924797164784235,500.0
356,79,0.15000559710249117,500.0
357,283,0.15320853125501438,500.0
358,500,0.14867791255563498,464.0
359,313,0.14966475005490712,280.0
360,220,0.14916668486866083,188.0
361,178,0.14581998617628986,192.0
362,184,0.1466322999002169,155.0
363,190,0.147679194553118,227.0
364,203,0.1477591362529494,164.0
365,192,0.1401271354019021,168.0
366,254,0.1546275508920039,170.0
367,170,0.1488995264558231,146.0
368,151,0.1440714875988613,146.0
369,248,0.15091450410264154,164.0
370,158,0.14581605980667886,172.0
371,216,0.1445611423416132,192.0
372,171,0.1492409864712877,151.0
373,129,0.15829850663972456,153.0
374,202,0.14982531701057855,198.0
375,160,0.15733401377219708,236.0
376,132,0.14150229539496428,142.0
377,155,0.157916808873415,154.0
378,147,0.16226389018349907,214.0
379,137,0.1583438780512253,217.0
380,154,0.16073229478357673,194.0
381,160,0.1606619544327259,166.0
382,186,0.17681068699726815,190.0
383,160,0.1801623838255182,185.0
384,199,0.1717185974869896,278.0
385,161,0.16814901612652755,276.0
386,180,0.1845439775639938,156.0
387,191,0.18300843759591043,154.0
388,226,0.17476779273587517,218.0
389,186,0.17530687600975076,170.0
390,174,0.17964005728262936,228.0
391,149,0.1831035493504281,182.0
392,183,0.1905018135986693,192.0
393,280,0.16866733425829028,166.0
394,225,0.17957621674570773,220.0
395,182,0.18372486484656622,162.0
396,198,0.17361020394647964,172.0
397,169,0.15287348790061192,190.0
398,173,0.17406587648296976,173.0
399,185,0.1561015641618822,215.0
400,208,0.17376107058953494,201.0
401,216,0.15760952778402026,211.0
402,236,0.16755632104715174,236.0
403,219,0.15600130798031478,219.0
404,245,0.1494201339439166,314.0
405,238,0.15007582851959503,221.0
406,203,0.13004572608788026,292.0
407,238,0.13029555776821716,266.0
408,281,0.12582519153974872,250.0
409,210,0.12916986537387684,352.0
410,216,0.11535506115803772,246.0
411,227,0.10559031717676161,236.0
412,238,0.1037707623963033,275.0
413,266,0.10312844674747185,302.0
414,273,0.10618556095389547,312.0
415,233,0.11166394268694162,271.0
416,262,0.09807215005209144,308.0
417,307,0.09090964747774824,289.0
418,253,0.09809545023742283,304.0
419,256,0.10141432806631201,290.0
420,267,0.0952461924271358,285.0
